,year,title,rating
313,1966,Who’s Afraid of Virginia Woolf?,
314,1966,A Man for All Seasons,1.0
315,1965,Doctor Zhivago,1.0
316,1965,A Thousand Clowns,
317,1965,Darling,3.0
318,1965,Ship of Fools,
319,1965,The Sound of Music,3.0
320,1964,Mary Poppins,3.0
321,1964,Alexis Zorbas,
322,1964,Becket,
323,1964,Dr. Strangelove,0.0
324,1964,,1.0
325,1964,My Fair Lady,3.0
326,1963,America America,
327,1963,Cleopatra,
328,1963,How the West Was Won,
329,1963,Lilies of the Field,
330,1963,Tom Jones,3.0
331,1962,Mutiny on the Bounty,
332,1962,The Longest Day,0.0
333,1962,The Music Man,3.0
334,1962,To Kill a Mockingbird,3.0
335,1962,Lawrence of Arabia,0.0
336,1961,Fanny,
337,1961,Judgment at Nuremberg,
338,1961,The Guns of Navarone,1.0
339,1961,The Hustler,0.0
340,1961,West Side Story,3.0
341,1960,Elmer Gantry,
342,1960,Sons and Lovers,
343,1960,The Alamo,
344,1960,The Sundowners,
345,1960,The Apartment,3.0
346,1959,Anatomy of a Murder,1.0
347,1959,Room at the Top,
348,1959,The Diary of Anne Frank,
349,1959,The Nun’s Story,
350,1959,Ben-Hur,3.0
351,1958,Auntie Mame,3.0
352,1958,Cat on a Hot Tin Roof,3.0
353,1958,Separate Tables,3.0
354,1958,The Defiant Ones,0.0
355,1958,Gigi,2.0
356,1957,12 Angry Men,0.0
357,1957,Peyton Place,
358,1957,Sayonara,2.0
359,1957,Witness for the Prosecution,1.0
360,1957,The Bridge on the River Kwai,1.0
361,1956,Giant,
362,1956,The Ten Commandments,2.0
363,1956,Friendly Persuasion,
364,1956,The King and I,2.0
365,1956,Around the World in Eighty Days,0.0
366,1955,Love Is a Many-Splendored Thing,
367,1955,Mister Roberts,
368,1955,Picnic,
369,1955,The Rose Tattoo,
370,1955,Marty,3.0
371,1954,The Caine Mutiny,
372,1954,Seven Brides for Seven Brothers,3.0
373,1954,The Country Girl,
374,1954,Three Coins in the Fountain,3.0
375,1954,On the Waterfront,0.0
376,1953,Shane,1.0
377,1953,Julius Caesar,1.0
378,1953,Roman Holiday,3.0
379,1953,The Robe,
380,1953,From Here to Eternity,3.0
381,1952,High Noon,2.0
382,1952,Ivanhoe,
383,1952,Moulin Rouge,
384,1952,The Quiet Man,1.0
385,1952,The Greatest Show on Earth,
386,1951,A Place in the Sun,
387,1951,A Streetcar Named Desire,3.0
388,1951,Decision Before Dawn,
389,1951,Quo Vadis,3.0
390,1951,An American in Paris,1.0
391,1950,Sunset Blvd.,1.0
392,1950,Born Yesterday,3.0
393,1950,Father of the Bride,
394,1950,King Solomon’s Mines,
395,1950,All About Eve,3.0
396,1949,A Letter to Three Wives,3.0
397,1949,Battleground,
398,1949,The Heiress,3.0
399,1949,Twelve O’Clock High,
400,1949,All the King’s Men,
401,1948,The Treasure of the Sierra Madre,0.0
402,1948,Johnny Belinda,
403,1948,The Red Shoes,3.0
404,1948,The Snake Pit,3.0
405,1948,Hamlet,1.0
406,1947,Crossfire,2.0
407,1947,Great Expectations,
408,1947,Miracle on 34th Street,3.0
409,1947,The Bishop’s Wife,
410,1947,Gentleman’s Agreement,
411,1946,It’s a Wonderful Life,
412,1946,The Chronicle History of King Henry the Fifth with his Battell Fought at Agincourt in France,
413,1946,The Razor’s Edge,
414,1946,The Yearling,
415,1946,The Best Years of Our Lives,2.0
416,1945,Mildred Pierce,3.0
417,1945,Anchors Aweigh,0.0
418,1945,Spellbound,3.0
419,1945,The Bells of St. Mary’s,
420,1945,The Lost Weekend,2.0
421,1944,Double Indemnity,3.0
422,1944,Gaslight,
423,1944,Since You Went Away,3.0
424,1944,Wilson,
425,1944,Going My Way,
426,1943,For Whom the Bell Tolls,
427,1943,Heaven Can Wait,
428,1943,In Which We Serve,
429,1943,Madame Curie,
430,1943,The Human Comedy,
431,1943,The More the Merrier,1.0
432,1943,The Ox-Bow Incident,1.0
433,1943,The Song of Bernadette,
434,1943,Watch on the Rhine,3.0
435,1943,Casablanca,
436,1942,Yankee Doodle Dandy,
437,1942,The Pride of the Yankees,
438,1942,The Magnificent Ambersons,2.0
