,title,year,rating
227,The Nutty Professor,1996,
228,Jerry Maguire,1996,2.0
229,Eraser,1996,3.0
230,Die Hard with a Vengeance,1995,1.0
231,Toy Story,1995,1.0
232,Apollo 13,1995,3.0
233,GoldenEye,1995,3.0
234,Pocahontas,1995,3.0
235,Batman Forever,1995,1.0
236,Seven,1995,
237,Casper,1995,3.0
238,Waterworld,1995,2.0
239,Jumanji,1995,3.0
240,The Lion King,1994,1.0
241,Forrest Gump,1994,1.0
242,True Lies,1994,3.0
243,The Mask,1994,
244,Speed,1994,3.0
245,The Flintstones,1994,3.0
246,Dumb and Dumber,1994,2.0
247,Four Weddings and a Funeral,1994,3.0
248,Interview with the Vampire: The Vampire Chronicles,1994,1.0
249,Clear and Present Danger,1994,0.0
250,Jurassic Park,1993,3.0
251,Mrs. Doubtfire,1993,3.0
252,The Fugitive,1993,2.0
253,Schindler's List,1993,3.0
254,The Firm,1993,3.0
255,Indecent Proposal,1993,0.0
256,Cliffhanger,1993,1.0
257,Sleepless in Seattle,1993,2.0
258,Philadelphia,1993,2.0
259,The Pelican Brief,1993,3.0
260,Aladdin,1992,0.0
261,The Bodyguard,1992,2.0
262,Home Alone 2: Lost in New York,1992,3.0
263,Basic Instinct,1992,1.0
264,Lethal Weapon 3,1992,1.0
265,Batman Returns,1992,0.0
266,A Few Good Men,1992,1.0
267,Sister Act,1992,3.0
268,Bram Stoker's Dracula,1992,2.0
269,Wayne's World,1992,1.0
270,Terminator 2: Judgment Day,1991,3.0
271,Robin Hood: Prince of Thieves,1991,3.0
272,Beauty and the Beast,1991,3.0
273,Hook,1991,2.0
274,The Silence of the Lambs,1991,3.0
275,JFK,1991,3.0
276,The Addams Family,1991,3.0
277,Cape Fear,1991,3.0
278,Hot Shots!,1991,1.0
279,City Slickers,1991,3.0
280,Ghost,1990,3.0
281,Home Alone,1990,3.0
282,Pretty Woman,1990,3.0
283,Dances with Wolves,1990,1.0
284,Total Recall,1990,1.0
285,Back to the Future Part III,1990,1.0
286,Die Hard 2,1990,3.0
287,Presumed Innocent,1990,1.0
288,Teenage Mutant Ninja Turtles,1990,2.0
289,Kindergarten Cop,1990,3.0
290,Indiana Jones and the Last Crusade,1989,0.0
291,Batman,1989,1.0
292,Back to the Future Part II,1989,3.0
293,Look Who's Talking,1989,
294,Dead Poets Society,1989,1.0
295,Lethal Weapon 2,1989,3.0
296,"Honey, I Shrunk the Kids",1989,3.0
297,Ghostbusters II,1989,2.0
298,The Little Mermaid,1989,3.0
299,Born on the Fourth of July,1989,3.0
300,Rain Man,1988,1.0
301,Who Framed Roger Rabbit,1988,1.0
302,Coming to America,1988,3.0
303,Big,1988,1.0
304,Twins,1988,3.0
305,"""Crocodile"" Dundee II",1988,
306,Die Hard,1988,3.0
307,The Naked Gun: From the Files of Police Squad!,1988,1.0
308,Cocktail,1988,
309,Beetlejuice,1988,
310,Three Men and a Baby,1987,1.0
311,Fatal Attraction,1987,3.0
312,Beverly Hills Cop II,1987,1.0
313,"Good Morning, Vietnam",1987,1.0
314,Moonstruck,1987,3.0
315,The Untouchables,1987,
316,The Secret of My Success,1987,1.0
317,Stakeout,1987,
318,Lethal Weapon,1987,1.0
319,The Witches of Eastwick,1987,3.0
320,Top Gun,1986,2.0
321,"""Crocodile"" Dundee",1986,
322,Platoon,1986,0.0
