,years,title
357,1957,Peyton Place
358,1957,Sayonara
359,1957,Witness for the Prosecution
360,1957,The Bridge on the River Kwai
361,1956,Giant
362,1956,The Ten Commandments
363,1956,Friendly Persuasion
364,1956,The King and I
365,1956,Around the World in Eighty Days
366,1955,Love Is a Many-Splendored Thing
367,1955,Mister Roberts
368,1955,Picnic
369,1955,The Rose Tattoo
370,1955,Marty
371,1954,The Caine Mutiny
372,1954,Seven Brides for Seven Brothers
373,1954,The Country Girl
374,1954,Three Coins in the Fountain
375,1954,On the Waterfront
376,1953,Shane
377,1953,Julius Caesar
378,1953,Roman Holiday
379,1953,The Robe
380,1953,From Here to Eternity
381,1952,High Noon
382,1952,Ivanhoe
383,1952,Moulin Rouge
384,1952,The Quiet Man
385,1952,The Greatest Show on Earth
386,1951,A Place in the Sun
387,1951,A Streetcar Named Desire
388,1951,Decision Before Dawn
389,1951,Quo Vadis
390,1951,An American in Paris
391,1950,Sunset Blvd.
392,1950,Born Yesterday
393,1950,Father of the Bride
394,1950,King Solomon’s Mines
395,1950,All About Eve
396,1949,A Letter to Three Wives
397,1949,Battleground
398,1949,The Heiress
399,1949,Twelve O’Clock High
400,1949,All the King’s Men
401,1948,The Treasure of the Sierra Madre
402,1948,Johnny Belinda
403,1948,The Red Shoes
404,1948,The Snake Pit
405,1948,Hamlet
406,1947,Crossfire
407,1947,Great Expectations
408,1947,Miracle on 34th Street
409,1947,The Bishop’s Wife
410,1947,Gentleman’s Agreement
411,1946,It’s a Wonderful Life
412,1946,The Chronicle History of King Henry the Fifth with his Battell Fought at Agincourt in France
413,1946,The Razor’s Edge
414,1946,The Yearling
415,1946,The Best Years of Our Lives
416,1945,Mildred Pierce
417,1945,Anchors Aweigh
418,1945,Spellbound
419,1945,The Bells of St. Mary’s
420,1945,The Lost Weekend
421,1944,Double Indemnity
422,1944,Gaslight
423,1944,Since You Went Away
424,1944,Wilson
425,1944,Going My Way
426,1943,For Whom the Bell Tolls
427,1943,Heaven Can Wait
428,1943,In Which We Serve
429,1943,Madame Curie
430,1943,The Human Comedy
431,1943,The More the Merrier
432,1943,The Ox-Bow Incident
433,1943,The Song of Bernadette
434,1943,Watch on the Rhine
435,1943,Casablanca
436,1942,Yankee Doodle Dandy
437,1942,The Pride of the Yankees
438,1942,The Magnificent Ambersons
439,1942,49th Parallel
440,1942,Kings Row
441,1942,Random Harvest
442,1942,The Pied Piper
443,1942,The Talk of the Town
444,1942,Wake Island
445,1942,Mrs. Miniver
446,1941,Citizen Kane
447,1941,The Maltese Falcon
448,1941,Suspicion
449,1941,Sergeant York
450,1941,Blossoms in the Dust
451,1941,Here Comes Mr. Jordan
452,1941,Hold Back the Dawn
453,1941,One Foot in Heaven
454,1941,The Little Foxes
455,1941,How Green Was My Valley
456,1940,The Grapes of Wrath
457,1940,The Philadelphia Story
458,1940,The Great Dictator
459,1940,All This and Heaven Too
460,1940,Foreign Correspondent
461,1940,Kitty Foyle: The Natural History of a Woman
462,1940,Our Town
463,1940,The Letter
464,1940,The Long Voyage Home
465,1940,Rebecca
466,1939,The Wizard of Oz
467,1939,Mr. Smith Goes to Washington
468,1939,Stagecoach
469,1939,Ninotchka
470,1939,Dark Victory
471,1939,Goodbye Mr. Chips
472,1939,Love Affair
473,1939,Of Mice and Men
474,1939,Wuthering Heights
475,1939,Gone with the Wind
476,1938,La grande illusion
477,1938,Jezebel
478,1938,Alexander’s Ragtime Band
479,1938,Boys Town
480,1938,Four Daughters
481,1938,Pygmalion
482,1938,Test Pilot
483,1938,The Adventures of Robin Hood
484,1938,The Citadel
485,1938,You Can’t Take it With You
486,1937,A Star Is Born
487,1937,Captains Courageous
488,1937,Dead End
489,1937,In Old Chicago
490,1937,Lost Horizon
491,1937,One Hundred Men and a Girl
492,1937,Stage Door
493,1937,The Awful Truth
494,1937,The Good Earth
495,1937,The Life of Emile Zola
496,1936,Dodsworth
497,1936,A Tale of Two Cities
498,1936,Anthony Adverse
499,1936,Libeled Lady
500,1936,Mr. Deeds Goes to Town
501,1936,Romeo and Juliet
502,1936,San Francisco
503,1936,The Story of Louis Pasteur
504,1936,Three Smart Girls
505,1936,The Great Ziegfeld
506,1935,Captain Blood
507,1935,A Midsummer Night’s Dream
508,1935,Alice Adams
509,1935,Broadway Melody of 1936
510,1935,Les MisÃ©rables
511,1935,Naughty Marietta
512,1935,Ruggles of Red Gap
513,1935,The Informer
514,1935,The Lives of a Bengal Lancer
515,1935,The Personal History
516,1935,Adventures
517,1935,Experience & Observation of David Copperfield the Younger
518,1935,Top Hat
519,1935,Mutiny on the Bounty
520,1934,Cleopatra
521,1934,Flirtation Walk
522,1934,Here Comes the Navy
523,1934,Imitation of Life
524,1934,One Night of Love
525,1934,The Barretts of Wimpole Street
526,1934,The Gay Divorcee
527,1934,The House of Rothschild
528,1934,The Thin Man
529,1934,The White Parade
530,1934,Viva Villa!
531,1934,It Happened One Night
532,1932,42nd Street
533,1932,A Farewell to Arms
534,1932,I Am a Fugitive from a Chain Gang
535,1932,Lady for a Day
536,1932,Little Women
537,1932,She Done Him Wrong
538,1932,Smilin’ Through
539,1932,State Fair
540,1932,The Private Life of Henry VIII
541,1932,Cavalcade
542,1931,Arrowsmith
543,1931,Bad Girl
544,1931,Five Star Final
545,1931,One Hour with You
546,1931,Shanghai Express
547,1931,The Champ
548,1931,The Smiling Lieutenant
549,1931,Grand Hotel
550,1930,East Lynne
551,1930,Skippy
552,1930,The Front Page
553,1930,Trader Horn
554,1930,Cimarron
555,1929,Disraeli
556,1929,The Divorcee
557,1929,The Big House
558,1929,The Love Parade
559,1929,All Quiet on the Western Front
